City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nishihara,JP,68.0,scattered clouds,26.1842,127.7558,Minshuku Agaihama
1,Bluff,NZ,50.0,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
2,Del Rio,US,60.8,overcast clouds,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
5,Ridgecrest,US,62.01,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
6,Mayo,US,57.0,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
7,Hermanus,ZA,66.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Faanui,PF,81.82,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Port Elizabeth,ZA,60.8,light rain,-33.918,25.5701,39 On Nile Guest House
13,Albany,US,57.99,scattered clouds,42.6001,-73.9662,
17,Chuy,UY,71.06,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
18,Tomatlan,MX,68.4,overcast clouds,19.9333,-105.25,Norma franco
19,Georgetown,MY,84.2,scattered clouds,5.4112,100.3354,Cititel Penang
21,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
22,Jamestown,US,55.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Bredasdorp,ZA,66.2,light rain,-34.5322,20.0403,Bredasdorp Country Manor
24,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Sola,VU,82.54,broken clouds,-13.8833,167.55,Leumerus Bungalows
26,Alanya,TR,77.0,light rain,36.5438,31.9998,Panorama Hotel
27,Nokaneng,BW,81.77,clear sky,-19.6667,22.2667,
28,Puerto Escondido,MX,80.62,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
29,Biak,ID,77.36,overcast clouds,-0.9131,122.8766,Penginapan Kim
30,Ferme-Neuve,CA,55.4,broken clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
31,Kruisfontein,ZA,60.01,light rain,-34.0033,24.7314,Oyster Bay House Rental
32,Ussel,FR,69.01,few clouds,45.55,2.3167,Logis Hôtel les Gravades
33,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
34,Balabac,PH,82.4,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
35,Shimoda,JP,55.8,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
36,Rikitea,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
37,Busselton,AU,59.0,overcast clouds,-33.65,115.3333,Observatory Guest House
38,Mbuji-Mayi,CD,87.8,light rain,-6.15,23.6,GKT Hotel
39,Hilo,US,73.4,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Tuatapere,NZ,50.0,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
41,Nichinan,JP,54.34,clear sky,31.6,131.3667,Guest House Aki
42,Ranau,MY,80.6,few clouds,5.9538,116.6641,Ranau Backpackers Hostel
43,Pacific Grove,US,51.8,overcast clouds,36.6177,-121.9166,Lovers Point Inn
44,Kalemie,CD,77.76,overcast clouds,-5.9475,29.1947,Mahobilali
46,Puerto Colombia,CO,84.2,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
47,Tucuma,BR,80.04,broken clouds,-0.1833,-50.05,
48,Butaritari,KI,83.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
49,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Villarrobledo,ES,68.0,overcast clouds,39.2699,-2.6012,Hotel Castillo
51,Codrington,AU,56.39,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
52,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
53,Arraial Do Cabo,BR,80.6,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Hualmay,PE,70.47,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
57,Bandarbeyla,SO,83.59,broken clouds,9.4942,50.8122,JABIR HOTEL
58,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
60,Mumbwa,ZM,76.53,broken clouds,-14.9783,27.0619,Mumbwa Motel
62,Ribeira Grande,PT,64.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
63,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
65,Lorengau,PG,81.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Cape Town,ZA,75.2,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
68,Rio Grande,BR,75.2,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
69,Andrelandia,BR,71.89,clear sky,-21.7397,-44.3092,Mônica Hotel
70,Itarema,BR,80.06,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
