City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Nishihara,26.1842,127.7558,68.0,63,40,9.22,JP,scattered clouds
1,Bluff,-46.6,168.3333,50.0,84,66,1.99,NZ,broken clouds
2,Del Rio,29.3627,-100.8968,60.8,48,90,8.05,US,overcast clouds
3,Kaukauna,44.278,-88.272,39.0,52,90,17.27,US,overcast clouds
4,Krasnyy Chikoy,50.3643,108.7512,43.32,45,8,4.63,RU,clear sky
5,Ridgecrest,35.6225,-117.6709,62.01,29,1,3.65,US,clear sky
6,Mayo,38.8876,-76.5119,57.0,76,90,5.75,US,overcast clouds
7,Hermanus,-34.4187,19.2345,66.0,63,100,11.99,ZA,overcast clouds
8,Faanui,-16.4833,-151.75,81.82,71,10,13.04,PF,clear sky
9,Tarbagatay,51.4803,107.3602,46.4,27,20,8.95,RU,few clouds
10,Punta Arenas,-53.15,-70.9167,44.6,87,100,11.5,CL,light rain
11,Ushuaia,-54.8,-68.3,46.4,71,90,18.41,AR,light rain
12,Port Elizabeth,-33.918,25.5701,60.8,82,90,8.05,ZA,light rain
13,Albany,42.6001,-73.9662,57.99,46,40,2.62,US,scattered clouds
14,Marystown,47.1666,-55.1483,37.4,92,99,6.55,CA,overcast clouds
15,Evensk,61.95,159.2333,31.77,83,43,19.35,RU,scattered clouds
16,Tasiilaq,65.6145,-37.6368,26.6,50,20,3.44,GL,few clouds
17,Chuy,-33.6971,-53.4616,71.06,58,77,10.56,UY,broken clouds
18,Tomatlan,19.9333,-105.25,68.4,54,100,1.74,MX,overcast clouds
19,Georgetown,5.4112,100.3354,84.2,83,40,8.05,MY,scattered clouds
20,North Bend,43.4065,-124.2243,44.6,93,90,3.44,US,overcast clouds
21,Marawi,7.9986,124.2928,79.0,74,93,3.0,PH,overcast clouds
22,Jamestown,42.097,-79.2353,55.0,66,1,6.91,US,clear sky
23,Bredasdorp,-34.5322,20.0403,66.2,52,75,17.27,ZA,light rain
24,Saint-Philippe,-21.3585,55.7679,77.0,88,90,17.27,RE,light rain
25,Sola,-13.8833,167.55,82.54,76,64,10.07,VU,broken clouds
26,Alanya,36.5438,31.9998,77.0,44,75,3.44,TR,light rain
27,Nokaneng,-19.6667,22.2667,81.77,20,0,7.52,BW,clear sky
28,Puerto Escondido,15.85,-97.0667,80.62,59,1,2.37,MX,clear sky
29,Biak,-0.9131,122.8766,77.36,76,100,2.82,ID,overcast clouds
30,Ferme-Neuve,46.7001,-75.4493,55.4,54,73,5.75,CA,broken clouds
31,Kruisfontein,-34.0033,24.7314,60.01,91,100,3.0,ZA,light rain
32,Ussel,45.55,2.3167,69.01,32,21,1.99,FR,few clouds
33,Vaini,-21.2,-175.2,75.2,94,20,3.44,TO,light rain
34,Balabac,7.9868,117.0645,82.4,68,100,15.88,PH,overcast clouds
35,Shimoda,34.6667,138.95,55.8,67,0,6.29,JP,clear sky
36,Rikitea,-23.1203,-134.9692,77.23,75,0,7.07,PF,clear sky
37,Busselton,-33.65,115.3333,59.0,97,96,11.95,AU,overcast clouds
38,Mbuji-Mayi,-6.15,23.6,87.8,51,75,4.61,CD,light rain
39,Hilo,19.7297,-155.09,73.4,73,90,5.75,US,overcast clouds
40,Tuatapere,-46.1333,167.6833,50.0,84,52,1.99,NZ,broken clouds
41,Nichinan,31.6,131.3667,54.34,75,0,5.37,JP,clear sky
42,Ranau,5.9538,116.6641,80.6,83,20,3.44,MY,few clouds
43,Pacific Grove,36.6177,-121.9166,51.8,82,90,5.75,US,overcast clouds
44,Kalemie,-5.9475,29.1947,77.76,70,100,8.5,CD,overcast clouds
45,Sorland,67.667,12.6934,46.4,76,0,11.5,NO,clear sky
46,Puerto Colombia,10.9878,-74.9547,84.2,74,40,4.61,CO,scattered clouds
47,Tucuma,-0.1833,-50.05,80.04,84,81,1.59,BR,broken clouds
48,Butaritari,3.0707,172.7902,83.19,75,45,12.1,KI,scattered clouds
49,Puerto Ayora,-0.7393,-90.3518,77.0,88,75,11.5,EC,broken clouds
50,Villarrobledo,39.2699,-2.6012,68.0,29,100,5.99,ES,overcast clouds
51,Codrington,-38.2667,141.9667,56.39,81,38,14.18,AU,scattered clouds
52,Avarua,-21.2078,-159.775,78.8,69,20,9.22,CK,light rain
53,Arraial Do Cabo,-22.9661,-42.0278,80.6,69,75,16.11,BR,broken clouds
54,Qaqortoq,60.7167,-46.0333,37.4,32,40,4.61,GL,scattered clouds
55,Ous,60.9058,61.5186,36.03,39,76,3.2,RU,broken clouds
