City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,51.8,100,94,2.3,ZA,2021-04-15 02:23:40
1,Punta Arenas,-53.15,-70.9167,39.2,87,0,10.36,CL,2021-04-15 02:18:55
2,Bluff,-46.6,168.3333,62.01,73,76,5.99,NZ,2021-04-15 02:23:41
3,Kodiak,57.79,-152.4072,42.8,70,75,5.75,US,2021-04-15 02:23:41
4,Rikitea,-23.1203,-134.9692,78.6,70,9,5.68,PF,2021-04-15 02:19:37
5,Saskylakh,71.9167,114.0833,1.6,87,21,5.73,RU,2021-04-15 02:23:41
6,Castro,-24.7911,-50.0119,53.73,97,100,5.77,BR,2021-04-15 02:23:42
7,Ponta Do Sol,32.6667,-17.1,62.6,67,20,5.75,PT,2021-04-15 02:23:42
8,Albany,42.6001,-73.9662,60.8,54,75,1.19,US,2021-04-15 02:23:42
9,New Norfolk,-42.7826,147.0587,57.0,77,11,4.0,AU,2021-04-15 02:23:43
10,Quelimane,-17.8786,36.8883,72.57,77,81,3.27,MZ,2021-04-15 02:23:43
11,Pacasmayo,-7.4006,-79.5714,68.92,80,90,11.01,PE,2021-04-15 02:23:43
12,East London,-33.0153,27.9116,67.42,83,5,6.53,ZA,2021-04-15 02:19:21
13,Laguna,38.421,-121.4238,69.01,37,1,13.8,US,2021-04-15 02:14:23
14,General Roca,-39.0333,-67.5833,55.4,67,0,9.24,AR,2021-04-15 02:23:44
15,Iqaluit,63.7506,-68.5145,-2.2,71,1,13.8,CA,2021-04-15 02:23:44
16,Puerto Colombia,10.9878,-74.9547,80.6,89,40,10.36,CO,2021-04-15 02:23:44
17,Kapaa,22.0752,-159.319,78.8,57,20,16.11,US,2021-04-15 02:23:45
18,Busselton,-33.65,115.3333,66.99,78,29,1.99,AU,2021-04-15 02:23:45
19,Hasaki,35.7333,140.8333,59.0,38,20,12.66,JP,2021-04-15 02:20:42
20,Costinesti,43.95,28.6333,41.0,87,90,20.71,RO,2021-04-15 02:23:45
21,Ushuaia,-54.8,-68.3,41.0,65,40,3.44,AR,2021-04-15 02:21:27
22,Cao Bang,22.6667,106.25,73.8,91,100,4.36,VN,2021-04-15 02:14:42
23,Tura,25.5198,90.2201,82.87,49,95,7.43,IN,2021-04-15 02:14:31
24,Qaanaaq,77.484,-69.3632,-11.52,62,0,7.67,GL,2021-04-15 02:23:46
25,Khatanga,71.9667,102.5,-6.43,94,45,9.46,RU,2021-04-15 02:18:47
